professor_name,prof_gender_finalized,department_name_clean,department_domain,star_rating,star_rating_category,comments,comments_original,comments_scrubbed,comments_original_neg,comments_scrubbed_neg
Joseph  Brown,male,Hospitality,Humanities,3.3,average,"Chef is an awesome teacher. He has a ton of experiences which he discusses making the courses interesting. Not the most organized, but if you\'re interested and participate, you\'ll do well",chef awesome teacher he ton experience he discus make course interest not organize interest participate,chef awesome teacher ton experience discus make course interest not organize interest participate,chef awesome teacher he ton experience he discus make course interest not NEG_organize interest participate,chef awesome teacher ton experience discus make course interest not NEG_organize interest participate
Joseph  Brown,male,Hospitality,Humanities,3.3,average,Chef Brown is a fun professor and is very laidback. As long as you pay attention and keep up with your assignments you will pass. I thought I had a B in the class and ended up with an A!,chef brown fun professor very laidback long pay attention assignment pas think b class end,chef brown fun professor very laidback long pay attention assignment pas think b class end,chef brown fun professor very laidback long pay attention assignment pas think b class end,chef brown fun professor very laidback long pay attention assignment pas think b class end
Joseph  Brown,male,Hospitality,Humanities,3.3,average,"Unorganized, Dont expect to know your grade until it pops up on genie.. pointless class. horrible teacher he belongs in the feild",unorganized dont expect know grade pop genie pointless class horrible teacher he belong feild,unorganized dont expect know grade pop genie pointless class horrible teacher belong feild,unorganized dont expect know grade pop genie pointless class horrible teacher he belong feild,unorganized dont expect know grade pop genie pointless class horrible teacher belong feild
Joseph  Brown,male,Hospitality,Humanities,3.3,average,"Very knowledgeable. Everything comes STRAIGHT from the book, even the quiz and test questions and all his power points, so as long as you study that you\'ll do very well. there are lots of assignments, but all of them are pretty easy.",very knowledgeable come straight book quiz test question his power point so long study very lot assignment pretty easy,very knowledgeable come straight book quiz test question power point so long study very lot assignment pretty easy,very knowledgeable come straight book quiz test question his power point so long study very lot assignment pretty easy,very knowledgeable come straight book quiz test question power point so long study very lot assignment pretty easy
Joseph  Brown,male,Hospitality,Humanities,3.3,average,"Chef Brown should be just that, a Chef. Obviously he has never taught before because I have never had a professor go an ENTIRE semester giving multiple assignments..and have about 2 quizzes and 1 or 2 tests handed back...EXTREMELY unorganized, not helpful. Won\'t answer emails. Messed up my final grade, didn\'t have any assignments or grade to show.",chef brown just chef obviously he never teach never professor entire semester give multiple assignmentsand 2 quiz 1 2 test hand backextremely unorganized not helpful not answer email mess final grade do not assignment grade,chef brown just chef obviously never teach never professor entire semester give multiple assignmentsand 2 quiz 1 2 test hand backextremely unorganized not helpful not answer email mess final grade do not assignment grade,chef brown just chef obviously he never NEG_teach never NEG_professor entire semester give multiple assignmentsand 2 quiz 1 2 test hand backextremely unorganized not NEG_helpful not NEG_answer email mess final grade do not NEG_assignment grade,chef brown just chef obviously never NEG_teach never NEG_professor entire semester give multiple assignmentsand 2 quiz 1 2 test hand backextremely unorganized not NEG_helpful not NEG_answer email mess final grade do not NEG_assignment grade
Russel  Schreck,male,Business,Humanities,3.3,average,"Many times during lectures he would start a sentence, forget what he was talking about halfway through, and then continue talking about something completely unrelated. He has limited office hours and takes an extremely long time to respond to emails, usually with responses that show he did not read or understand the email you sent him.",time lecture he start sentence forget he talk halfway continue talk completely unrelated he limit office hour take extremely long time respond email usually response he do not read understand email send him,time lecture start sentence forget talk halfway continue talk completely unrelated limit office hour take extremely long time respond email usually response do not read understand email send,time lecture he start sentence forget he talk halfway continue talk completely unrelated he limit office hour take extremely long time respond email usually response he do not NEG_read understand email send him,time lecture start sentence forget talk halfway continue talk completely unrelated limit office hour take extremely long time respond email usually response do not NEG_read understand email send
Russel  Schreck,male,Business,Humanities,3.3,average,He is the honest and bends over backward to help any student. He is a computer of knowledge in business. A person must work hard to succeed. Seems the only people don\'t like him are the students who earn a d or an f. Other wise he is an easy grader. Thirteen of 30 students received an A in the class.,he honest bend backward help student he computer knowledge business person work hard succeed people not like him student earn d f wise he easy grader thirteen 30 student receive class,honest bend backward help student computer knowledge business person work hard succeed people not like student earn d f wise easy grader thirteen 30 student receive class,he honest bend backward help student he computer knowledge business person work hard succeed people not NEG_like him student earn d f wise he easy grader thirteen 30 student receive class,honest bend backward help student computer knowledge business person work hard succeed people not NEG_like student earn d f wise easy grader thirteen 30 student receive class
Russel  Schreck,male,Business,Humanities,3.3,average,Mr Schreck is the brightest and most knowledgeable business instructor I have had in my four years at this university. He has a knowledge of business that is unmatched at this school.,mr schreck brightest knowledgeable business instructor year university he knowledge business unmatched school,mr schreck brightest knowledgeable business instructor year university knowledge business unmatched school,mr schreck brightest knowledgeable business instructor year university he knowledge business unmatched school,mr schreck brightest knowledgeable business instructor year university knowledge business unmatched school
Russel  Schreck,male,Business,Humanities,3.3,average,A professor who taught to the student all the variables of the course plus experience from the business world. No instructor had his knowledge and experience. His teaching detail made the course one the high lights of my educational pursuit. Mr. Business.,professor teach student variable course plus experience business world no instructor his knowledge experience his teach course high light educational pursuit mr business,professor teach student variable course plus experience business world no instructor knowledge experience teach course high light educational pursuit mr business,professor teach student variable course plus experience business world no NEG_instructor his knowledge experience his teach course high light educational pursuit mr business,professor teach student variable course plus experience business world no NEG_instructor knowledge experience teach course high light educational pursuit mr business
Russel  Schreck,male,Business,Humanities,3.3,average,"From being on the Presidental economic team to congressional hearings, to President of a multi billion company to teaching in MBA programs. He is the best instructor I have had. His knowledge of business is superior. Great instructor.",presidental economic team congressional hearing president multi billion company teach mba program he best instructor his knowledge business superior great instructor,presidental economic team congressional hearing president multi billion company teach mba program best instructor knowledge business superior great instructor,presidental economic team congressional hearing president multi billion company teach mba program he best instructor his knowledge business superior great instructor,presidental economic team congressional hearing president multi billion company teach mba program best instructor knowledge business superior great instructor
Russel  Schreck,male,Business,Humanities,3.3,average,"Once I started the first week of the class I knew it was going to be very difficult. The material is not taught thoroughly. Most of the class I have no idea what is going on. The tests are extremely hard, so hard no one in the class passes them hardly. I would not recommend this class to anyone unless your willing to self teach everything.",start week class know go very difficult material not teach thoroughly class no idea go test extremely hard so hard no class pas hardly not recommend class unless will self teach,start week class know go very difficult material not teach thoroughly class no idea go test extremely hard so hard no class pas hardly not recommend class unless will self teach,start week class know go very difficult material not NEG_teach thoroughly class no NEG_idea go test extremely hard so hard no NEG_class pas hardly not NEG_recommend class unless will self teach,start week class know go very difficult material not NEG_teach thoroughly class no NEG_idea go test extremely hard so hard no NEG_class pas hardly not NEG_recommend class unless will self teach
Russel  Schreck,male,Business,Humanities,3.3,average,"The most knowledgeable professor in the school of Business. He ran many businesses in the real world, and is the man who knows the inside of the corporation.",knowledgeable professor school business he run business real world man know inside corporation,knowledgeable professor school business run business real world know inside corporation,knowledgeable professor school business he run business real world man know inside corporation,knowledgeable professor school business run business real world know inside corporation
Russel  Schreck,male,Business,Humanities,3.3,average,His knowledge of the business world is superb. He motivated the students with his with his experience in the real world. A brilliant professor who covered strategic planning and made it seem simple. An awesome instructor.,his knowledge business world superb he motivate student his his experience real world brilliant professor cover strategic plan simple awesome instructor,knowledge business world superb motivate student experience real world brilliant professor cover strategic plan simple awesome instructor,his knowledge business world superb he motivate student his his experience real world brilliant professor cover strategic plan simple awesome instructor,knowledge business world superb motivate student experience real world brilliant professor cover strategic plan simple awesome instructor
Russel  Schreck,male,Business,Humanities,3.3,average,"one third of my class received an A. The losers who sat there and did not ask questions or participate in the class are the people who rate him poorly. He is an instructor of integrity and an unusual knowledge concerning accounting. You may work a little harder, but know the data emtremely well. He is my nomination for instructor of the year.",class receive loser sit do not ask question participate class people rate him poorly he instructor integrity unusual knowledge concern account work little harder know data emtremely he nomination instructor year,class receive loser sit do not ask question participate class people rate poorly instructor integrity unusual knowledge concern account work little harder know data emtremely nomination instructor year,class receive loser sit do not NEG_ask question participate class people rate him poorly he instructor integrity unusual knowledge concern account work little harder know data emtremely he nomination instructor year,class receive loser sit do not NEG_ask question participate class people rate poorly instructor integrity unusual knowledge concern account work little harder know data emtremely nomination instructor year
Russel  Schreck,male,Business,Humanities,3.3,average,"TERRIBLE. I gave him the benefit of the doubt for too long, truth is he\'s an awful teacher. Class average was a D, and we all said amongst ourselves, ""I wonder how many of us would excel at this subject with a decent teacher?"" Pretty sad actually. I\'m disappointed in the choice of faculty.",terrible give him benefit doubt too long truth he awful teacher class average d say wonder excel subject decent teacher pretty sad actually disappoint choice faculty,terrible give benefit doubt too long truth awful teacher class average d say wonder excel subject decent teacher pretty sad actually disappoint choice faculty,terrible give him benefit doubt too long truth he awful teacher class average d say wonder excel subject decent teacher pretty sad actually disappoint choice faculty,terrible give benefit doubt too long truth awful teacher class average d say wonder excel subject decent teacher pretty sad actually disappoint choice faculty
Russel  Schreck,male,Business,Humanities,3.3,average,Basically each class period consists of students taking notes on slides. THATS IT. Slides that are pulled down way to quickly to even finish taking notes on. You know you have a bad instructor when the majority of the class receives either a C or D on the test.,basically class period consist student take note slide thats slide pull way quickly finish take note know bad instructor majority class receive c d test,basically class period consist student take note slide thats slide pull way quickly finish take note know bad instructor majority class receive c d test,basically class period consist student take note slide thats slide pull way quickly finish take note know bad instructor majority class receive c d test,basically class period consist student take note slide thats slide pull way quickly finish take note know bad instructor majority class receive c d test
Russel  Schreck,male,Business,Humanities,3.3,average,"Very slow class. Come prepared to take a lot of notes. He gives you about 10 seconds to write an entire paragraph so write fast. Doesn\'t explain homework very well. You will most likely have to teach yourself. There is a lot to study for quizzes and exams. He knows what hes talking about, but can\'t teach it very well.",very slow class come prepare lot note he give 10 second write entire paragraph so write fast do not explain homework very likely teach lot study quiz exam he know he talk not teach very,very slow class come prepare lot note give 10 second write entire paragraph so write fast do not explain homework very likely teach lot study quiz exam know talk not teach very,very slow class come prepare lot note he give 10 second write entire paragraph so write fast do not NEG_explain homework very likely teach lot study quiz exam he know he talk not NEG_teach very,very slow class come prepare lot note give 10 second write entire paragraph so write fast do not NEG_explain homework very likely teach lot study quiz exam know talk not NEG_teach very
Russel  Schreck,male,Business,Humanities,3.3,average,"A masterful instructor. A person who cares about his students. Expects a lot from his students, but gives so much more. His knowledge of business is beyond anyone I have met or have taken as a professor.",masterful instructor person care his student expect lot his student give so his knowledge business meet take professor,masterful instructor person care student expect lot student give so knowledge business meet take professor,masterful instructor person care his student expect lot his student give so his knowledge business meet take professor,masterful instructor person care student expect lot student give so knowledge business meet take professor
Russel  Schreck,male,Business,Humanities,3.3,average,"If you desire a business instructor who is knowledgeable, personable ane takes time for his students - he is the real diamond of the business department. Those who try to get along without reading or preparing for class would rate him diffently - but those students will likely not make it through this university.",desire business instructor knowledgeable personable ane take time his student he real diamond business department try without read prepare class rate him diffently student likely not make university,desire business instructor knowledgeable personable ane take time student real diamond business department try without read prepare class rate diffently student likely not make university,desire business instructor knowledgeable personable ane take time his student he real diamond business department try without NEG_read prepare class rate him diffently student likely not NEG_make university,desire business instructor knowledgeable personable ane take time student real diamond business department try without NEG_read prepare class rate diffently student likely not NEG_make university
