professor_name,prof_gender_finalized,department_name_clean,department_domain,star_rating,star_rating_category,comments,comments_original,comments_scrubbed,comments_original_neg,comments_scrubbed_neg
Adeline  Ortiz,female,Business,Humanities,2.4,poor,"This is a tough course and tough professor, but a fair one. You always know where you stand. If you do your part she will meet you half way. If you think you can blow off reading and classes, you picked the wrong instructor!! She knows her stuff and she\'s great at what she does. Only slackers have a problem with her!",tough course tough professor fair know stand she meet half way think blow read class pick wrong instructor she know her stuff she great she do slacker problem her,tough course tough professor fair know stand meet half way think blow read class pick wrong instructor know stuff great do slacker problem,tough course tough professor fair know stand she meet half way think blow read class pick wrong instructor she know her stuff she great she do slacker problem her,tough course tough professor fair know stand meet half way think blow read class pick wrong instructor know stuff great do slacker problem
Adeline  Ortiz,female,Business,Humanities,2.4,poor,"She is horrible!! do not recommend taking this class with her. I took it online. I was an accelerated course so it was a lot of work. But if for some reason you need some help or an emergency happens and you need more time to submit your work, she will not help!!",she horrible not recommend take class her take online accelerate course so lot work reason need help emergency happen need time submit work she not help,horrible not recommend take class take online accelerate course so lot work reason need help emergency happen need time submit work not help,she horrible not NEG_recommend take class her take online accelerate course so lot work reason need help emergency happen need time submit work she not NEG_help,horrible not NEG_recommend take class take online accelerate course so lot work reason need help emergency happen need time submit work not NEG_help
Adeline  Ortiz,female,Business,Humanities,2.4,poor,Great Professor,great professor,great professor,great professor,great professor
Adeline  Ortiz,female,Business,Humanities,2.4,poor,"She is tough cookie, if you want an A, you better be a real student, don\'t take her lightly.",she tough cookie want better real student not her lightly,tough cookie want better real student not lightly,she tough cookie want better real student not NEG_her lightly,tough cookie want better real student not NEG_lightly
Adeline  Ortiz,female,Business,Humanities,2.4,poor,This professor is by far THE WORST professor I\'ve ever had in my life she looses your papers and hold you responsible to resubmit them as in her course is your only course and you don\'t have a life . She complains about lateness but was always late to the classes we had she didn\'t know how to use blackboard and held us liable for her tactfulness . She knows her work and could be a good professor if shed stop trying to be a lawyer in a Business class. Horrible if your signed up drop it ASAP!,professor far worst professor life she loose paper hold responsible resubmit her course course not life she complain lateness late class she do not know use blackboard hold liable her tactfulness she know her work good professor shed stop try lawyer business class horrible sign drop asap,professor far worst professor life loose paper hold responsible resubmit course course not life complain lateness late class do not know use blackboard hold liable tactfulness know work good professor shed stop try lawyer business class horrible sign drop asap,professor far worst professor life she loose paper hold responsible resubmit her course course not NEG_life she complain lateness late class she do not NEG_know use blackboard hold liable her tactfulness she know her work good professor shed stop try lawyer business class horrible sign drop asap,professor far worst professor life loose paper hold responsible resubmit course course not NEG_life complain lateness late class do not NEG_know use blackboard hold liable tactfulness know work good professor shed stop try lawyer business class horrible sign drop asap
Adeline  Ortiz,female,Business,Humanities,2.4,poor,This professor is very unfair and inconsistent.,professor very unfair inconsistent,professor very unfair inconsistent,professor very unfair inconsistent,professor very unfair inconsistent
Adeline  Ortiz,female,Business,Humanities,2.4,poor,"This is the worst professor ever. She has no idea what she is doing. She loses homework and blames it on the students. She made my semester so frustrating.I do not know what my grade for her class is, because as usual, she is late in grading assignments. There is not enough space here to list how I feel about this professor\'s teaching style.",worst professor she no idea she do she lose homework blame student she semester so frustratingi not know grade her class usual she late grade assignment not space list feel professor teach style,worst professor no idea do lose homework blame student semester so frustratingi not know grade class usual late grade assignment not space list feel professor teach style,worst professor she no NEG_idea she do she lose homework blame student she semester so frustratingi not NEG_know grade her class usual she late grade assignment not NEG_space list feel professor teach style,worst professor no NEG_idea do lose homework blame student semester so frustratingi not NEG_know grade class usual late grade assignment not NEG_space list feel professor teach style
Adeline  Ortiz,female,Business,Humanities,2.4,poor,She is a tough cookie and her test are hard. You should stay on top of the reading all semester because if you wait to study the night before a test you will be screwed. Her passing grade is a 70 and her test are long and hard. She is a pretty cool professor overall.,she tough cookie her test hard stay read semester wait study night test screw her pas grade 70 her test long hard she pretty cool professor overall,tough cookie test hard stay read semester wait study night test screw pas grade 70 test long hard pretty cool professor overall,she tough cookie her test hard stay read semester wait study night test screw her pas grade 70 her test long hard she pretty cool professor overall,tough cookie test hard stay read semester wait study night test screw pas grade 70 test long hard pretty cool professor overall
Adeline  Ortiz,female,Business,Humanities,2.4,poor,She is the worst professor in the business dept. I passed both midterm and finals with B+ and she gave me a C+ for a final grade. She doesn\'t care for her students and doesn\'t care to fail anyone. Pathetice professor don\'t waste your time.,she worst professor business dept pas midterm final b she give c final grade she do not care her student do not care fail pathetice professor not waste time,worst professor business dept pas midterm final b give c final grade do not care student do not care fail pathetice professor not waste time,she worst professor business dept pas midterm final b she give c final grade she do not NEG_care her student do not NEG_care fail pathetice professor not NEG_waste time,worst professor business dept pas midterm final b give c final grade do not NEG_care student do not NEG_care fail pathetice professor not NEG_waste time
Adeline  Ortiz,female,Business,Humanities,2.4,poor,This must be the worst professor in the Business Dept. I believe she was known as Professor Pina. I got an 85 on my midterm and she gave me a C+ as a final grade. All she does is speak of her personal life. Please stay away.,worst professor business dept believe she know professor pina get 85 midterm she give c final grade she do speak her personal life stay away,worst professor business dept believe know professor pina get 85 midterm give c final grade do speak personal life stay away,worst professor business dept believe she know professor pina get 85 midterm she give c final grade she do speak her personal life stay away,worst professor business dept believe know professor pina get 85 midterm give c final grade do speak personal life stay away
