professor_name,prof_gender_finalized,department_name_clean,department_domain,star_rating,star_rating_category,comments,comments_original,comments_scrubbed,comments_original_neg,comments_scrubbed_neg
Patricia  Smith,female,Chemistry,STEM,2.8,average,Definitely will work with you. Wants you to do your best. She was always willing to help and didn\'t talk excessively or demean anyone. I took her for the summer course and I would definitely recommend her!,definitely work want best she will help do not talk excessively demean take her summer course definitely recommend her,definitely work want best will help do not talk excessively demean take summer course definitely recommend,definitely work want best she will help do not NEG_talk excessively demean take her summer course definitely recommend her,definitely work want best will help do not NEG_talk excessively demean take summer course definitely recommend
Patricia  Smith,female,Chemistry,STEM,2.8,average,"Dr. Smith is a good lab instructor. Quizzes/ reports not dropped in CHEM 102 tho. She wants u to come to lab on time and make sure u read the lab before coming or u will be lost more often. It\'s also good to do the lab report right after the lab or u will find yourself struggling the night before the next lab, not to mention pre- proceedure+ quiz",dr smith good lab instructor quiz report not drop chem 102 tho she want u come lab time make sure u read lab come u lose good lab report right lab u struggle night lab not mention pre proceedure quiz,dr smith good lab instructor quiz report not drop chem 102 tho want u come lab time make sure u read lab come u lose good lab report right lab u struggle night lab not mention pre proceedure quiz,dr smith good lab instructor quiz report not NEG_drop chem 102 tho she want u come lab time make sure u read lab come u lose good lab report right lab u struggle night lab not NEG_mention pre proceedure quiz,dr smith good lab instructor quiz report not NEG_drop chem 102 tho want u come lab time make sure u read lab come u lose good lab report right lab u struggle night lab not NEG_mention pre proceedure quiz
Patricia  Smith,female,Chemistry,STEM,2.8,average,"Had her for chem102 lab in the spring. She grades pretty seriously. She requires you write page long pre-labs before the lab, and if you forget it, she kicks you out. Her lab reports are anywhere between 3-6 pages (most of it is calculations though) and its worth 10-20 points If you do take her, dont do the pre-lab questions. Not on any quiz/exams",her chem102 lab spring she grade pretty seriously she require write page long prelabs lab forget she kick her lab report 36 page calculation worth 1020 point her dont prelab question not quizexams,chem102 lab spring grade pretty seriously require write page long prelabs lab forget kick lab report 36 page calculation worth 1020 point dont prelab question not quizexams,her chem102 lab spring she grade pretty seriously she require write page long prelabs lab forget she kick her lab report 36 page calculation worth 1020 point her dont prelab question not NEG_quizexams,chem102 lab spring grade pretty seriously require write page long prelabs lab forget kick lab report 36 page calculation worth 1020 point dont prelab question not NEG_quizexams
Patricia  Smith,female,Chemistry,STEM,2.8,average,"Avoid this teacher for Lab if possible. She is so stickler for the rules and cars more about that then the class; She will not flex in any way. She is constantly scanning the room and disrupting the class yelling ""No phones people!"" The content isn\'t difficult, but she will destroy your grade and deduct points for every tiny detail.",avoid teacher lab possible she so stickler rule car class she not flex way she constantly scan room disrupt class yell no phone people content not difficult she destroy grade deduct point tiny,avoid teacher lab possible so stickler rule car class not flex way constantly scan room disrupt class yell no phone people content not difficult destroy grade deduct point tiny,avoid teacher lab possible she so stickler rule car class she not NEG_flex way she constantly scan room disrupt class yell no NEG_phone people content not NEG_difficult she destroy grade deduct point tiny,avoid teacher lab possible so stickler rule car class not NEG_flex way constantly scan room disrupt class yell no NEG_phone people content not NEG_difficult destroy grade deduct point tiny
Patricia  Smith,female,Chemistry,STEM,2.8,average,"Dr. Smith is a fantastic Lab teacher. She lets you know exactly what she wants to see in your lab reports and grades very fairly! Asking for help is easy, she is so willing to help with anything lab OR lecture related. Don\'t expect her to wiggle on the departments policies, very strict in that regard.",dr smith fantastic lab teacher she let know exactly she want lab report grade very fairly ask help easy she so will help lab lecture relate not expect her wiggle department policy very strict regard,dr smith fantastic lab teacher let know exactly want lab report grade very fairly ask help easy so will help lab lecture relate not expect wiggle department policy very strict regard,dr smith fantastic lab teacher she let know exactly she want lab report grade very fairly ask help easy she so will help lab lecture relate not NEG_expect her wiggle department policy very strict regard,dr smith fantastic lab teacher let know exactly want lab report grade very fairly ask help easy so will help lab lecture relate not NEG_expect wiggle department policy very strict regard
Patricia  Smith,female,Chemistry,STEM,2.8,average,"Dr. Smith is a great teacher, I don\'t know what everyone else is saying. Chemistry is a hard class so you have to know everything. She may go fast but if you practice on your own then you should do well. She is really nice and a great teacher!",dr smith great teacher not know say chemistry hard class so know she fast practice she really nice great teacher,dr smith great teacher not know say chemistry hard class so know fast practice really nice great teacher,dr smith great teacher not NEG_know say chemistry hard class so know she fast practice she really nice great teacher,dr smith great teacher not NEG_know say chemistry hard class so know fast practice really nice great teacher
Patricia  Smith,female,Chemistry,STEM,2.8,average,"This professor has been the worst professor that i have every had and i have been through my share of school. I have already completed my masters, this was supposed to be a personal enrichment class. HCC has to do better.",professor worst professor share school complete master suppose personal enrichment class hcc better,professor worst professor share school complete master suppose personal enrichment class hcc better,professor worst professor share school complete master suppose personal enrichment class hcc better,professor worst professor share school complete master suppose personal enrichment class hcc better
Patricia  Smith,female,Chemistry,STEM,2.8,average,"The ""Site Guidelines"" prevent me from saying everything I\'d like to about this professor. If you have taken a chem class before and can teach yourself, then you can probably pass the class with her. But if you wanna pay your tuition for a reason and go to school to actually learn from the ""TEACHER"" than this is not the professor for you.",site guideline prevent say like professor take chem class teach probably pas class her wanna pay tuition reason school actually learn teacher not professor,site guideline prevent say like professor take chem class teach probably pas class wanna pay tuition reason school actually learn teacher not professor,site guideline prevent say like professor take chem class teach probably pas class her wanna pay tuition reason school actually learn teacher not NEG_professor,site guideline prevent say like professor take chem class teach probably pas class wanna pay tuition reason school actually learn teacher not NEG_professor
Patricia  Smith,female,Chemistry,STEM,2.8,average,worst chem teacher ever.,worst chem teacher,worst chem teacher,worst chem teacher,worst chem teacher
Patricia  Smith,female,Chemistry,STEM,2.8,average,"I am a student that has always done well in chemistry. BUT Dr. Smith left me confused as she is a HORRIBLE teacher, is always CONFUSED, & she discourages class discussion when you ask her a question - she says come to office hours & when you go there you leave more confused. I heard she is good in labs but in lecture she is the worst.",student chemistry dr smith leave confuse she horrible teacher confuse she discourage class discussion ask her question she say come office hour leave confuse hear she good lab lecture she worst,student chemistry dr smith leave confuse horrible teacher confuse discourage class discussion ask question say come office hour leave confuse hear good lab lecture worst,student chemistry dr smith leave confuse she horrible teacher confuse she discourage class discussion ask her question she say come office hour leave confuse hear she good lab lecture she worst,student chemistry dr smith leave confuse horrible teacher confuse discourage class discussion ask question say come office hour leave confuse hear good lab lecture worst
Patricia  Smith,female,Chemistry,STEM,2.8,average,Great teacher! She was very nice and very helpful. She did a great job explaining the material.,great teacher she very nice very helpful she do great job explain material,great teacher very nice very helpful do great job explain material,great teacher she very nice very helpful she do great job explain material,great teacher very nice very helpful do great job explain material
Patricia  Smith,female,Chemistry,STEM,2.8,average,"I\'m currently in her class right now and I am truly regretting it. I should of check this site before I signed up for her class. It\'s one thing to know and have a lot of knowledge, but the it\'s another to be able to teach and pass on that knowledge. This professor is really confusing. She talks fast and doesn\'t like to be bothered.",currently her class right truly regret check site sign her class thing know lot knowledge able teach pas knowledge professor really confuse she talk fast do not like bother,currently class right truly regret check site sign class thing know lot knowledge able teach pas knowledge professor really confuse talk fast do not like bother,currently her class right truly regret check site sign her class thing know lot knowledge able teach pas knowledge professor really confuse she talk fast do not NEG_like bother,currently class right truly regret check site sign class thing know lot knowledge able teach pas knowledge professor really confuse talk fast do not NEG_like bother
Patricia  Smith,female,Chemistry,STEM,2.8,average,"I\'m currently in her class right now and I am truly regretting it. I should of check this site before I signed up for her class. It\'s one thing to know and have a lot of knowledge, but the it\'s another to be able to teach and pass on that knowledge. This professor is really confusing. She talks fast and doesn\'t like to be bothered. DANGER!!",currently her class right truly regret check site sign her class thing know lot knowledge able teach pas knowledge professor really confuse she talk fast do not like bother danger,currently class right truly regret check site sign class thing know lot knowledge able teach pas knowledge professor really confuse talk fast do not like bother danger,currently her class right truly regret check site sign her class thing know lot knowledge able teach pas knowledge professor really confuse she talk fast do not NEG_like bother danger,currently class right truly regret check site sign class thing know lot knowledge able teach pas knowledge professor really confuse talk fast do not NEG_like bother danger
