professor_name,prof_gender_finalized,department_name_clean,department_domain,star_rating,star_rating_category,comments,comments_original,comments_scrubbed,comments_original_neg,comments_scrubbed_neg
Vera  Brown,female,Computer Science,STEM,4.1,good,"Ms Brown is a really nice lady, but gets off track A LOT. She knows her stuff, that\'s for sure. But she kind of goes in circles sometimes when explaining something. Otherwise, Excel and Access with her were super easy.",m brown really nice lady get track lot she know her stuff sure she kind go circle explain excel access her super easy,brown really nice get track lot know stuff sure kind go circle explain excel access super easy,m brown really nice lady get track lot she know her stuff sure she kind go circle explain excel access her super easy,brown really nice get track lot know stuff sure kind go circle explain excel access super easy
Vera  Brown,female,Computer Science,STEM,4.1,good,Great professor with a wonderful personality for teaching. She makes everyone in the class a learner.,great professor wonderful personality teach she make class learner,great professor wonderful personality teach make class learner,great professor wonderful personality teach she make class learner,great professor wonderful personality teach make class learner
Vera  Brown,female,Computer Science,STEM,4.1,good,This instructor is the greatest professor that Baker could offer. She ranks high on knowledge and very helpful to all stuents in the class with respect I must add.,instructor greatest professor baker offer she rank high knowledge very helpful stuents class respect add,instructor greatest professor baker offer rank high knowledge very helpful stuents class respect add,instructor greatest professor baker offer she rank high knowledge very helpful stuents class respect add,instructor greatest professor baker offer rank high knowledge very helpful stuents class respect add
Vera  Brown,female,Computer Science,STEM,4.1,good,She is the easiest teacher ever... She gets off topic but if you ignore her and just go to work its the EASIEST A EVER!!! i got done with ALL the semesters work in 2 weeks.. Use your book on final as well..,she easiest teacher she get topic ignore her just work easiest get semester work 2 week use book final,easiest teacher get topic ignore just work easiest get semester work 2 week use book final,she easiest teacher she get topic ignore her just work easiest get semester work 2 week use book final,easiest teacher get topic ignore just work easiest get semester work 2 week use book final
Vera  Brown,female,Computer Science,STEM,4.1,good,"She is a very fair teacher, respects class, and understands when you are having trouble in class and home. Great teacher, would take any of her classes!!!!!",she very fair teacher respect class understand have trouble class home great teacher her class,very fair teacher respect class understand have trouble class home great teacher class,she very fair teacher respect class understand have trouble class home great teacher her class,very fair teacher respect class understand have trouble class home great teacher class
Jean-Pierre  Dussault,male,Mathematics,STEM,4.7,good,"Outre le fait qu\'il pointe ce qu\'il a effac\xc3\xa9 au tableau, c\'est un prof qui a une passion pour sa mati\xc3\xa8re et qui est en mesure de la communiquer.",outre le fait quil pointe ce quil effacã© au tableau cest prof qui une passion pour sa matiã ̈re et qui est en mesure la communiquer,outre le fait quil pointe ce quil effacã© au tableau cest prof qui une passion pour sa matiã ̈re et qui est en mesure la communiquer,outre le fait quil pointe ce quil effacã© au tableau cest prof qui une passion pour sa matiã ̈re et qui est en mesure la communiquer,outre le fait quil pointe ce quil effacã© au tableau cest prof qui une passion pour sa matiã ̈re et qui est en mesure la communiquer
Jean-Pierre  Dussault,male,Mathematics,STEM,4.7,good,"Apportez vos crayons de couleur, ils sont important pour ce cours!",apportez vos crayon couleur il sont important pour ce cours,apportez vos crayon couleur il sont important pour ce cours,apportez vos crayon couleur il sont important pour ce cours,apportez vos crayon couleur il sont important pour ce cours
Jean-Pierre  Dussault,male,Mathematics,STEM,4.7,good,J\'ai trop aim\xc3\xa9 ce proff. Son devoir zero est trop nulle mais le reste du cours est super interessant.,jai trop aimã© ce proff son devoir zero est trop nulle mais le reste du cours est super interessant,jai trop aimã© ce proff son devoir zero est trop nulle mais le reste du cours est super interessant,jai trop aimã© ce proff son devoir zero est trop nulle mais le reste du cours est super interessant,jai trop aimã© ce proff son devoir zero est trop nulle mais le reste du cours est super interessant
Philip  Fallwell,male,Process Technology,STEM,4.0,good,He is a very generous teacher. He gives you many chances because he wants for you to understand the material. He is also friendly and always willing to answer questions if he knows the answer.,he very generous teacher he give chance he want understand material he friendly will answer question he know answer,very generous teacher give chance want understand material friendly will answer question know answer,he very generous teacher he give chance he want understand material he friendly will answer question he know answer,very generous teacher give chance want understand material friendly will answer question know answer
Jean  Quashnock,male,Physics,STEM,4.3,good,"Tough in class. Teaches the concepts, but the homework tends to be much more in depth than what is covered in class. But, if you go to him for help, he will help you until you get it. He will not simply tell you the answer, he will give you the thought process to get to the answer, which I really appreciated.",tough class teach concept homework tend depth cover class him help he help he not simply tell answer he think process answer really appreciate,tough class teach concept homework tend depth cover class help help not simply tell answer think process answer really appreciate,tough class teach concept homework tend depth cover class him help he help he not NEG_simply tell answer he think process answer really appreciate,tough class teach concept homework tend depth cover class help help not NEG_simply tell answer think process answer really appreciate
Jean  Quashnock,male,Physics,STEM,4.3,good,"Absolutely hands down one of the best Professors at Carthage. Funny in a quirky way, incredibly helpful and explains things so well. I promise you will love him.",absolutely hand best professor carthage funny quirky way incredibly helpful explain thing so promise love him,absolutely hand best professor carthage funny quirky way incredibly helpful explain thing so promise love,absolutely hand best professor carthage funny quirky way incredibly helpful explain thing so promise love him,absolutely hand best professor carthage funny quirky way incredibly helpful explain thing so promise love
Jean  Quashnock,male,Physics,STEM,4.3,good,"Although he is pretty awkward, he\'s a great teacher that loves physics and helping his students.",he pretty awkward he great teacher love physic help his student,pretty awkward great teacher love physic help student,he pretty awkward he great teacher love physic help his student,pretty awkward great teacher love physic help student
Jean  Quashnock,male,Physics,STEM,3.7346534653465344,good,,,,,
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,"Loved her class. She really wants you to succeed and it shows. She will help you if you need it. It was actually fun at times. She lets you know you have to put the effort in to pass, and she means it! She will pave the way for you to do well, but if you aren\'t willing to do the memorization of terms then you wont pass rightfully.",love her class she really want succeed show she help need actually fun time she let know effort pas she mean she pave way not will memorization term wont pas rightfully,love class really want succeed show help need actually fun time let know effort pas mean pave way not will memorization term wont pas rightfully,love her class she really want succeed show she help need actually fun time she let know effort pas she mean she pave way not NEG_will memorization term wont pas rightfully,love class really want succeed show help need actually fun time let know effort pas mean pave way not NEG_will memorization term wont pas rightfully
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,great teacher!!!,great teacher,great teacher,great teacher,great teacher
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,awsome she was a great teacherloved her n learned alot.,awsome she great teacherloved her n learn alot,awsome great teacherloved n learn alot,awsome she great teacherloved her n learn alot,awsome great teacherloved n learn alot
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,"She is great at what she does, Teach! I like her alot and so does the other students in the class. Thank you for being our teacher.",she great she do teach like her alot so do student class thank teacher,great do teach like alot so do student class thank teacher,she great she do teach like her alot so do student class thank teacher,great do teach like alot so do student class thank teacher
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,She is great! I like her alot and so does the other students in the class. Thank you for being our teacher.,she great like her alot so do student class thank teacher,great like alot so do student class thank teacher,she great like her alot so do student class thank teacher,great like alot so do student class thank teacher
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,"She is great at what she does, Teaching! And the students love her alot. Thank you for being our teacher. :)",she great she do teach student love her alot thank teacher,great do teach student love alot thank teacher,she great she do teach student love her alot thank teacher,great do teach student love alot thank teacher
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,"Gloria is awesome. I would highly recommend taking any class with her. She actually WANTS her students to pass and will do whatever it takes to help you out. Wonderful lady, makes you actually look forward to going to class.",gloria awesome highly recommend take class her she actually want her student pas take help wonderful lady make actually look forward go class,gloria awesome highly recommend take class actually want student pas take help wonderful make actually look forward go class,gloria awesome highly recommend take class her she actually want her student pas take help wonderful lady make actually look forward go class,gloria awesome highly recommend take class actually want student pas take help wonderful make actually look forward go class
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,Gloria is a terrific medical terminology instructor. Everyone who goes on to take P&A does very well because of her class.,gloria terrific medical terminology instructor go pa do very her class,gloria terrific medical terminology instructor go pa do very class,gloria terrific medical terminology instructor go pa do very her class,gloria terrific medical terminology instructor go pa do very class
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,"Gloria is terrific!! Highly recommend her. She gives lots of examples to help master the material. She has great stories is is just a warm, wonderful person. I will take any class that Gloria teaches!!!!",gloria terrific highly recommend her she give lot example help master material she great story just warm wonderful person class gloria teach,gloria terrific highly recommend give lot example help master material great story just warm wonderful person class gloria teach,gloria terrific highly recommend her she give lot example help master material she great story just warm wonderful person class gloria teach,gloria terrific highly recommend give lot example help master material great story just warm wonderful person class gloria teach
Gloria  Depew-Kendrick,female,Health Science,STEM,5.0,good,Absolutely Wonderful Teacher! I would reccommend her to anyone. She is funny and made the 4 hour class fun. She tells stories and gives you all the info you need to study. Two thumbs way up!,absolutely wonderful teacher reccommend her she funny 4 hour class fun she tell story give info need study thumb way,absolutely wonderful teacher reccommend funny 4 hour class fun tell story give info need study thumb way,absolutely wonderful teacher reccommend her she funny 4 hour class fun she tell story give info need study thumb way,absolutely wonderful teacher reccommend funny 4 hour class fun tell story give info need study thumb way
Margaret  Hammer,female,Science,STEM,4.8,good,Loved her classes. They were fun and interesting. She has a lot of knowledge so I would listen and write down things that I could use.\r I would love to take another class from her in the future.,love her class fun interest she lot knowledge so listen write thing use love class her future,love class fun interest lot knowledge so listen write thing use love class future,love her class fun interest she lot knowledge so listen write thing use love class her future,love class fun interest lot knowledge so listen write thing use love class future
