professor_name,prof_gender_finalized,department_name_clean,department_domain,star_rating,star_rating_category,comments,comments_original,comments_scrubbed,comments_original_neg,comments_scrubbed_neg
Irene  Ecarma-Robinson,female,Biology,STEM,2.0,poor,She is so rude and just overall a terrible person. Teaching is not her gift either.,she so rude just overall terrible person teach not her gift,so rude just overall terrible person teach not gift,she so rude just overall terrible person teach not NEG_her gift,so rude just overall terrible person teach not NEG_gift
Irene  Ecarma-Robinson,female,Biology,STEM,2.0,poor,"Irene is very disrespectful and condescending to her students. It is very obvious that she does not like what she does- and it becomes obvious by her unwillingness to help her students. She is extremely demanding in how she wants things done, but does not like helping. Avoid her at all costs!",irene very disrespectful condescend her student very obvious she do not like she do obvious her unwillingness help her student she extremely demand she want thing do not like help avoid her cost,irene very disrespectful condescend student very obvious do not like do obvious unwillingness help student extremely demand want thing do not like help avoid cost,irene very disrespectful condescend her student very obvious she do not NEG_like she do obvious her unwillingness help her student she extremely demand she want thing do not NEG_like help avoid her cost,irene very disrespectful condescend student very obvious do not NEG_like do obvious unwillingness help student extremely demand want thing do not NEG_like help avoid cost
Irene  Ecarma-Robinson,female,Biology,STEM,2.0,poor,"Irene is suuuper strict and is crazy to an extent. She is very organized and is nothing beyond that. She is a very hard grader!!! AVOID HER! Get roberts or anyone but her. She takes of 10pts every time ur late, even 1 second. I got -100pts. DONT TAKE",irene suuuper strict crazy extent she very organize she very hard grader avoid her robert her she take 10pts time ur late 1 second get 100pts dont,irene suuuper strict crazy extent very organize very hard grader avoid robert take 10pts time ur late 1 second get 100pts dont,irene suuuper strict crazy extent she very organize she very hard grader avoid her robert her she take 10pts time ur late 1 second get 100pts dont,irene suuuper strict crazy extent very organize very hard grader avoid robert take 10pts time ur late 1 second get 100pts dont
Marilyn  Williams,female,Science,STEM,2.1,poor,"worst teacher i ever had. disengaged, unresponsive, unclear. added NO value to online class for $2K+. avoid at ALL costs. you might as well teach yourself.",worst teacher disengage unresponsive unclear add no value online class 2k avoid cost teach,worst teacher disengage unresponsive unclear add no value online class 2k avoid cost teach,worst teacher disengage unresponsive unclear add no NEG_value online class 2k avoid cost teach,worst teacher disengage unresponsive unclear add no NEG_value online class 2k avoid cost teach
Marilyn  Williams,female,Science,STEM,2.1,poor,Gives TERRIBLE lectures! She basically is just reading someone else\'s powerpoints. She gives incorrect science information - even in her specialty. She always ended class early and assignments rarely made complete sense. It was annoying to pay so much for a class taught by this professor!,give terrible lecture she basically just read elses powerpoints she give incorrect science information her specialty she end class early assignment rarely complete sense annoy pay so class teach professor,give terrible lecture basically just read elses powerpoints give incorrect science information specialty end class early assignment rarely complete sense annoy pay so class teach professor,give terrible lecture she basically just read elses powerpoints she give incorrect science information her specialty she end class early assignment rarely complete sense annoy pay so class teach professor,give terrible lecture basically just read elses powerpoints give incorrect science information specialty end class early assignment rarely complete sense annoy pay so class teach professor
Marilyn  Williams,female,Science,STEM,2.1,poor,"class is really boring and i think the TAs are much nicer and helpful than her. must buy a new , expensive textbook since she makes you tear off the pages in the textbook!! exams are ok if you study her notes.",class really bore think ta nicer helpful her buy new expensive textbook she make tear page textbook exam ok study her note,class really bore think ta nicer helpful buy new expensive textbook make tear page textbook exam ok study note,class really bore think ta nicer helpful her buy new expensive textbook she make tear page textbook exam ok study her note,class really bore think ta nicer helpful buy new expensive textbook make tear page textbook exam ok study note
Marilyn  Williams,female,Science,STEM,2.1,poor,Very boring lectures. She reads off of the powerpoint slides and there is no need to go to the lectures. When it\'s time for test review she gets very cranky. The TA\'s are very helpful. The labs are easy but a waste of time. I wouldn\'t recommend this class. Take another NATS if you can.,very bore lecture she read powerpoint slide no need lecture time test review she get very cranky ta very helpful lab easy waste time not recommend class nats,very bore lecture read powerpoint slide no need lecture time test review get very cranky ta very helpful lab easy waste time not recommend class nats,very bore lecture she read powerpoint slide no NEG_need lecture time test review she get very cranky ta very helpful lab easy waste time not NEG_recommend class nats,very bore lecture read powerpoint slide no NEG_need lecture time test review get very cranky ta very helpful lab easy waste time not NEG_recommend class nats
Marilyn  Williams,female,Science,STEM,2.1,poor,"not my favorite professor, but her tests were straight forward from her reviews. She never tested on reading either which was a plus.",not favorite professor her test straight forward her review she never test read plus,not favorite professor test straight forward review never test read plus,not NEG_favorite professor her test straight forward her review she never NEG_test read plus,not NEG_favorite professor test straight forward review never NEG_test read plus
Marilyn  Williams,female,Science,STEM,2.1,poor,"Not very accessible for questions, but does a good job with lecture and allowing questions during class. There are 2 TA\'s that can answer questions. Overall, a good teacher and an average class.",not very accessible question do good job lecture allow question class 2 ta answer question overall good teacher average class,not very accessible question do good job lecture allow question class 2 ta answer question overall good teacher average class,not NEG_very accessible question do good job lecture allow question class 2 ta answer question overall good teacher average class,not NEG_very accessible question do good job lecture allow question class 2 ta answer question overall good teacher average class
Marilyn  Williams,female,Science,STEM,2.1,poor,"She was nice at first and then she just got meaner and meaner and meaner as the course went on. I would recommend NOT taking one of her classes. She tells you one thing and then denies it later so she\'s a bit of a liar. No very helpful and she gets pissed off a lot. Overall, she is a bad professor. Stay away unless you like mean people.",she nice she just get meaner meaner meaner course go recommend not take her class she tell thing deny later so she bite liar no very helpful she get piss lot overall she bad professor stay away unless like mean people,nice just get meaner meaner meaner course go recommend not take class tell thing deny later so bite liar no very helpful get piss lot overall bad professor stay away unless like mean people,she nice she just get meaner meaner meaner course go recommend not NEG_take her class she tell thing deny later so she bite liar no NEG_very helpful she get piss lot overall she bad professor stay away unless like mean people,nice just get meaner meaner meaner course go recommend not NEG_take class tell thing deny later so bite liar no NEG_very helpful get piss lot overall bad professor stay away unless like mean people
